title,city,listing_city,district,size,rent,available_from,url,price_per_sqm,avg_ppm_diff,rent_index_diff,available_until,flatmates,flatmate_details,flatmates_female,flatmates_male,flatmates_diverse,rooms_free,room_type,online_since,straight_line_km,distance_km,duration_min,transit_distance_km,transit_duration_min,is_transit_estimated
WG Zimmer in Remshalden,"Stuttgart
                            
                            Remshalden","Stuttgart
                            
                            Remshalden",,17.0,380.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Remshalden.10650040.html,22.35,-13.47,,,5,"2w,2m,0d,0n",2,2,0,,,,25.81,,,46.79,14.9,True
"Ein helles, schönes Zimmer in Einfamilienhaus in der Umgebung Stuttgarts","Stuttgart
                            
                            Filderstadt-Bonlanden","Stuttgart
                            
                            Filderstadt-Bonlanden",,13.0,430.0,"01.04.2026
                    
                                            - 31.03.2027",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Filderstadt-Bonlanden.9585628.html,33.08,-2.74,,,3,"2w,0m,0d,0n",2,0,0,,,,20.81,,,48.49,10.5,True
WG in schöner Wohnung eigenes Bad Filderstadt,"Stuttgart
                            
                            Filderstadt","Stuttgart
                            
                            Filderstadt",,17.0,690.0,13.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Filderstadt.11963922.html,40.59,4.77,,,2,"0w,1m,0d,0n",0,1,0,,,,18.28,,,44.88,10.4,True
Großes Zimmer in 3er WG in Stuttgart | Uni Hohenheim,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,22.0,555.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.6151040.html,25.23,-10.59,,,3,"2w,0m,0d,0n",2,0,0,,,,18.09,,,43.78,9.1,True
Schönes WG-Zimmer in direkter Nähe zur Uni-Hohenheim,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,14.0,520.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.8018886.html,37.14,1.32,,,3,"1w,1m,0d,0n",1,1,0,,,,18.09,,,43.78,9.1,True
WG-Zimmer nahe der Uni Hohenheim,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,14.0,389.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.10834885.html,27.79,-8.03,,,3,"1w,1m,0d,0n",1,1,0,,,,18.09,,,43.78,9.1,True
WG Zimmer in Top Lage zur Uni Hohenheim mit schönem Balkon,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,10.0,415.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.11203730.html,41.5,5.68,,,3,"1w,1m,0d,0n",1,1,0,,,,18.09,,,43.78,9.1,True
WG Zimmer nahe Uni Hohenheim,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,10.0,350.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.11532508.html,35.0,-0.82,,,4,"0w,3m,0d,0n",0,3,0,,,,18.09,,,43.78,9.1,True
Möbliertes Zimmer auf dem Campus – echte Gemeinschaft statt anonymer WG! Ab Oktober 2025,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,20.0,240.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.11759103.html,12.0,-23.82,,,6,"0w,4m,0d,0n",0,4,0,,,,18.09,,,43.78,9.1,True
**4er WG-Zimmer sucht Mitbewohner*in**,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,14.0,500.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.11919403.html,35.71,-0.11,,,4,"0w,3m,0d,0n",0,3,0,,,,18.09,,,43.78,9.1,True
WG-Haus in Plieningen mit Blick auf das Schloß Hohenheim,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,15.0,500.0,15.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.11929033.html,33.33,-2.49,,,8,"0w,0m,0d,0n",0,0,0,,,,18.09,,,43.78,9.1,True
**4er WG in Nähe Uni Hohenheim & Park**,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,12.0,500.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.11951053.html,41.67,5.85,,,3,"1w,1m,0d,0n",1,1,0,,,,18.09,,,43.78,9.1,True
WG-Zimmer in Uni-Nähe (Hohenheim),"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,15.0,650.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12043576.html,43.33,7.51,,,2,"1w,0m,0d,0n",1,0,0,,,,18.09,,,43.78,9.1,True
schönes WG Zimmer in Plieningen,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,13.0,480.0,12.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12047993.html,36.92,1.1,,,3,"2w,0m,0d,0n",2,0,0,,,,18.09,,,43.78,9.1,True
"WG-Zimmer frei in Plieningen – grün, ruhig und doch mitten im Leben in modernisiertem Haus","Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,16.0,630.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12136698.html,39.38,3.56,,,5,"2w,2m,0d,0n",2,2,0,,,,18.09,,,43.78,9.1,True
"Möbliertes Zimmer in Stuttgart-Plieningen- Wohnen auf Zeit mit eigener Dusche/Wc, Wlan, geteilte Küche, Waschmaschine, Garten und Terrasse","Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,25.0,650.0,13.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12589702.html,26.0,-9.82,,,2,"0w,0m,0d,0n",0,0,0,,,,18.09,,,43.78,9.1,True
"ab 1 Monat - möbliertes Zimmer mit Wlan, Teilung von Küche und Dusche/WC, Waschmaschine, Garten und Terrasse","Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,15.0,560.0,13.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12589774.html,37.33,1.51,,,2,"0w,0m,0d,0n",0,0,0,,,,18.09,,,43.78,9.1,True
"ab 1 Monat, möbliertes Zimmer mit Wlan, Teilung von Küche und Dusche/WC, Waschmaschine, Garten und Terrasse","Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,15.0,560.0,13.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12589844.html,37.33,1.51,,,2,"0w,0m,0d,0n",0,0,0,,,,18.09,,,43.78,9.1,True
ab 1 Monat - Möbliertes Zimmer in Stuttgart-Plieningen- Wohnen auf Zeit,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,25.0,580.0,14.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12600086.html,23.2,-12.62,,,2,"0w,0m,0d,0n",0,0,0,,,,18.09,,,43.78,9.1,True
WG Zimmer in einer 4er WG,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,15.0,450.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12669533.html,30.0,-5.82,,,4,"2w,1m,0d,0n",2,1,0,,,,18.09,,,43.78,9.1,True
Schönes WG Zimmer nahe Uni Hohenheim!,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,10.0,450.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12685991.html,45.0,9.18,,,3,"0w,2m,0d,0n",0,2,0,,,,18.09,,,43.78,9.1,True
WG Zimmer nähe Uni Hohenheim,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,11.0,400.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12840327.html,36.36,0.54,,,4,"0w,3m,0d,0n",0,3,0,,,,18.09,,,43.78,9.1,True
"Teilmöbiliertes WG Zimmer In 4er WG, in Stuttgart Plieningen.","Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,25.0,462.0,04.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12920499.html,18.48,-17.34,,,4,"2w,1m,0d,0n",2,1,0,,,,18.09,,,43.78,9.1,True
16m2 Zimmer zu Vermieten,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,16.0,450.0,"01.03.2026
                    
                                            - 31.12.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12925500.html,28.12,-7.7,,,6,"1w,1m,0d,0n",1,1,0,,,,18.09,,,43.78,9.1,True
WG-Zimmer in Plieningen mit eigenem Bad - nähe Uni Hohenheim,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,21.0,543.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12942161.html,25.86,-9.96,,,3,"1w,1m,0d,0n",1,1,0,,,,18.09,,,43.78,9.1,True
13m2 WG-Zimmer in Plieningen,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,13.0,450.0,"05.03.2026
                    
                                            - 31.12.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12943577.html,34.62,-1.2,,,6,"1w,2m,0d,0n",1,2,0,,,,18.09,,,43.78,9.1,True
10m2 Zimmer in Plieningen,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,10.0,410.0,"11.02.2026
                    
                                            - 31.12.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12948077.html,41.0,5.18,,,6,"1w,2m,0d,0n",1,2,0,,,,18.09,,,43.78,9.1,True
Top möbliertes Zimmer in Plieningen / Nähe Uni Hohenheim,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,13.0,550.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12957311.html,42.31,6.49,,,3,"1w,1m,0d,0n",1,1,0,,,,18.09,,,43.78,9.1,True
Gemütliches WG-Zimmer Nähe Uni Hohenheim ab 01.März,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,18.0,390.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12957750.html,21.67,-14.15,,,3,"2w,0m,0d,0n",2,0,0,,,,18.09,,,43.78,9.1,True
Großes & Saniertes WG Zi mit Balkon! Ab Sofort!,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,25.0,655.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12972365.html,26.2,-9.62,,,3,"0w,0m,0d,0n",0,0,0,,,,18.09,,,43.78,9.1,True
Gut geschnittenes & Saniertes WG Zimmer! Ab sofort!,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,15.0,525.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12972392.html,35.0,-0.82,,,3,"0w,0m,0d,0n",0,0,0,,,,18.09,,,43.78,9.1,True
WG-Zimmer mit privater Terrasse in Stuttgart-Plieningen,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,27.0,750.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.12999811.html,27.78,-8.04,,,4,"2w,1m,0d,0n",2,1,0,,,,18.09,,,43.78,9.1,True
Zimmer in 3-er WG Plieningen,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,17.0,610.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.13055973.html,35.88,0.06,,,3,"2w,0m,0d,0n",2,0,0,,,,18.09,,,43.78,9.1,True
Gemütliches Zimmer in 3er-WG in Uni-Nähe,"Stuttgart
                            
                            Plieningen","Stuttgart
                            
                            Plieningen",,14.0,339.0,15.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Plieningen.13071292.html,24.21,-11.61,,,3,"0w,0m,0d,0n",0,0,0,,,,18.09,,,43.78,9.1,True
Helles 17m2 Zimmer in netter WG in Stuttgart-Uhlbach,"Stuttgart
                            
                            Uhlbach","Stuttgart
                            
                            Uhlbach",,17.0,520.0,06.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Uhlbach.12334664.html,30.59,-5.23,,,3,"0w,2m,0d,0n",0,2,0,,,,16.16,,,32.35,12.5,True
Sehr schöne Wohnung bietet helles ruhiges möbliertes Zimmer mit schöner Aussicht über die Dächer von Obertürkheim,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,14.0,550.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.5701037.html,39.29,3.47,,,3,"0w,2m,0d,0n",0,2,0,,,,15.88,,,29.46,11.5,True
"Einziehen und Wohlfühlen in eine gepflegte sehr schöne ruhige, gemütliche WG mit grosser Wohnküche im Grünen in ruhiger Lage","Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,20.0,680.0,01.05.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.6699752.html,34.0,-1.82,,,3,"1w,1m,0d,0n",1,1,0,,,,15.88,,,29.46,11.5,True
Sehr schönes großes Zimmer in Stuttgart Obertürkheim am 01.03.2026 zu vermieten,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,20.0,500.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.7622657.html,25.0,-10.82,,,3,"1w,1m,0d,0n",1,1,0,,,,15.88,,,29.46,11.5,True
Schöne und nette WG sucht Nachwuchs,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,13.0,490.0,15.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.7947766.html,37.69,1.87,,,6,"0w,4m,0d,0n",0,4,0,,,,15.88,,,29.46,11.5,True
Wohnen im traumhaftem Anwesen,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,17.0,650.0,14.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.8366798.html,38.24,2.42,,,3,"0w,1m,0d,0n",0,1,0,,,,15.88,,,29.46,11.5,True
Stuttgarter Weinberge: Traumhaftes Wohnen mit grosser Terrasse und Garten,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,20.0,650.0,28.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.8625845.html,32.5,-3.32,,,3,"0w,1m,0d,0n",0,1,0,,,,15.88,,,29.46,11.5,True
16qm WG-Zimmer,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,16.0,595.0,20.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.11539385.html,37.19,1.37,,,4,"2w,1m,0d,0n",2,1,0,,,,15.88,,,29.46,11.5,True
Befristet Zimmer in Dreier-WG in Stuttgart-Obertürkheim Verlängerung möglich,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,20.0,500.0,"01.03.2026
                    
                                            - 31.05.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.11885084.html,25.0,-10.82,,,3,"1w,1m,0d,0n",1,1,0,,,,15.88,,,29.46,11.5,True
Zeitwohnen ab 1 Monat | WG-Zimmer Stuttgart Obertürkheim| Urbanbnb – Online buchen,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,19.0,690.0,13.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.11999344.html,36.32,0.5,,,2,"0w,0m,0d,0n",0,0,0,,,,15.88,,,29.46,11.5,True
Sanierte WG-Zimmer direkt an den Weinbergen,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,16.0,400.0,13.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.12377782.html,25.0,-10.82,,,4,"2w,0m,0d,0n",2,0,0,,,,15.88,,,29.46,11.5,True
gemütliches Zimmer in sehr schöner Maisonette-Wohnung,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,16.0,650.0,"01.03.2026
                    
                                            - 31.05.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.12486853.html,40.62,4.8,,,3,"1w,1m,0d,0n",1,1,0,,,,15.88,,,29.46,11.5,True
WG-Zimmer in Stuttgart-Obertürkheim,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,11.0,460.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.12758145.html,41.82,6.0,,,3,"2w,0m,0d,0n",2,0,0,,,,15.88,,,29.46,11.5,True
Wg zimmer in stuttgart,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,11.0,483.0,"01.03.2026
                    
                                            - 31.08.2028",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.12985917.html,43.91,8.09,,,3,"2w,0m,0d,0n",2,0,0,,,,15.88,,,29.46,11.5,True
Zimmer in 3er WG*Ideal für Pendler/Monteure*Pauschalmiete,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,10.0,420.0,14.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.12994820.html,42.0,6.18,,,3,"0w,2m,0d,0n",0,2,0,,,,15.88,,,29.46,11.5,True
Frauen WG Zimmer,"Stuttgart
                            
                            Obertürkheim","Stuttgart
                            
                            Obertürkheim",,11.0,460.0,"01.04.2026
                    
                                            - 31.08.2028",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Obertuerkheim.13045723.html,41.82,6.0,,,3,"2w,0m,0d,0n",2,0,0,,,,15.88,,,29.46,11.5,True
Renoviertes WG-Zimmer auf dem Campus der Universität Hohenheim (nur Studenten)(Voll möbiliert),"Stuttgart
                            
                            Hohenheim","Stuttgart
                            
                            Hohenheim",,20.0,300.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hohenheim.5179000.html,15.0,-20.82,,,5,"0w,4m,0d,0n",0,4,0,,,,15.78,,,46.46,11.1,True
"Vollmöbliertes, helles WG-Zimmer in Hohenheim","Stuttgart
                            
                            Hohenheim","Stuttgart
                            
                            Hohenheim",,18.0,250.0,12.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hohenheim.9277161.html,13.89,-21.93,,,5,"0w,4m,0d,0n",0,4,0,,,,15.78,,,46.46,11.1,True
"Mädchen WG, Nähe Hohenheim im Grünen","Stuttgart
                            
                            Hohenheim","Stuttgart
                            
                            Hohenheim",,18.0,570.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hohenheim.12192431.html,31.67,-4.15,,,3,"2w,0m,0d,0n",2,0,0,,,,15.78,,,46.46,11.1,True
NACHMIETER FÜR 2er WG GESUCHT  -  1 ZIMMER - 17m2,"Stuttgart
                            
                            Ostfildern","Stuttgart
                            
                            Ostfildern",,17.0,545.0,"01.03.2026
                    
                                            - 31.12.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Ostfildern.2431852.html,32.06,-3.76,,,2,"0w,1m,0d,0n",0,1,0,,,,15.44,,,54.48,13.2,True
Schönes Zimmer in Ostfildern Scharnhauser Park,"Stuttgart
                            
                            Ostfildern","Stuttgart
                            
                            Ostfildern",,15.0,450.0,02.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Ostfildern.4180006.html,30.0,-5.82,,,5,"4w,0m,0d,0n",4,0,0,,,,15.44,,,54.48,13.2,True
"Großes, schönes Zimmer mit eigenem Balkon! All Inclusive","Stuttgart
                            
                            Ostfildern","Stuttgart
                            
                            Ostfildern",,18.0,543.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Ostfildern.6554216.html,30.17,-5.65,,,5,"0w,4m,0d,0n",0,4,0,,,,15.44,,,54.48,13.2,True
"Stubaier Straße, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,28.0,485.0,03.09.2025,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12281944.html,17.32,-18.5,,,2,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
Ab 1 Monat - Möbliertes Zimmer in WG,"Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,16.0,580.0,01.05.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12559258.html,36.25,0.43,,,2,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
ab 1 Monat - Möblierte Zimmer Stuttgart Hedelfingen für Wohnen auf Zeit,"Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,26.0,610.0,13.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12565759.html,23.46,-12.36,,,2,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
"Stubaier Straße, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,13.0,515.0,19.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12282048.html,39.62,3.8,,,2,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
Ab 1 Monat - möbliertes Zimmer in Stuttgart,"Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,17.0,580.0,21.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12570937.html,34.12,-1.7,,,2,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
A room in a 3bed Apartment,"Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,18.0,503.0,15.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12911539.html,27.94,-7.88,,,3,"0w,2m,0d,0n",0,2,0,,,,15.02,,,28.39,11.0,True
"Hedelfinger Platz, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,14.0,650.0,14.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12898822.html,46.43,10.61,,,3,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
"Stubaier Straße, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,15.0,525.0,03.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12901880.html,35.0,-0.82,,,2,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
"Stubaier Straße, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,16.0,525.0,19.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12281783.html,32.81,-3.01,,,3,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
"Stubaier Straße, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,15.0,460.0,17.09.2025,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12281847.html,30.67,-5.15,,,2,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
"Strümpfelbacher Straße, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,16.0,590.0,01.09.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12895240.html,36.88,1.06,,,4,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
"Benzstraße, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,14.0,580.0,01.01.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12282960.html,41.43,5.61,,,2,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
Zimmer - Zimmer in der Stubaier Straße,"Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,15.0,525.0,03.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12814271.html,35.0,-0.82,,,3,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
Zimmer - Zimmer in der Stubaier Straße,"Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,13.0,515.0,19.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12814329.html,39.62,3.8,,,3,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
"Strümpfelbacher Straße, Stuttgart","Stuttgart
                            
                            Hedelfingen","Stuttgart
                            
                            Hedelfingen",,16.0,590.0,01.06.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Hedelfingen.12278039.html,36.88,1.06,,,4,"0w,0m,0d,0n",0,0,0,,,,15.02,,,28.39,11.0,True
"Großes, helles WG-Zimmer mit Balkon sehr nah Uni Hohenheim Plieningen Steckfeld inkl. WLAN","Stuttgart
                            
                            Steckfeld","Stuttgart
                            
                            Steckfeld",,23.0,620.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Steckfeld.12899964.html,26.96,-8.86,,,3,"1w,1m,0d,0n",1,1,0,,,,15.01,,,44.41,10.6,True
WG Zimmer 5min zur Uni Hoheneim,"Stuttgart
                            
                            Steckfeld","Stuttgart
                            
                            Steckfeld",,19.0,450.0,15.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Steckfeld.13054969.html,23.68,-12.14,,,3,"1w,0m,0d,0n",1,0,0,,,,15.01,,,44.41,10.6,True
Sonniges Zimmer mit Balkon in geräumiger 5er Haus-WG,"Stuttgart
                            
                            Heumaden","Stuttgart
                            
                            Heumaden",,18.0,510.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Heumaden.8691137.html,28.33,-7.49,,,5,"1w,2m,0d,0n",1,2,0,,,,14.67,,,33.63,13.2,True
Gemütliches Zimmer mit eigenem seperatem Bad(Dusche) in geräumiger 5er Haus-WG mit Garten,"Stuttgart
                            
                            Heumaden","Stuttgart
                            
                            Heumaden",,22.0,580.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Heumaden.9317618.html,26.36,-9.46,,,5,"1w,2m,0d,0n",1,2,0,,,,14.67,,,33.63,13.2,True
"schönes möbliertes WG Zimmer in 3er-WG ab 01.04.2026 , Stuttgart Heumaden","Stuttgart
                            
                            Heumaden","Stuttgart
                            
                            Heumaden",,24.0,660.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Heumaden.10680626.html,27.5,-8.32,,,3,"0w,2m,0d,0n",0,2,0,,,,14.67,,,33.63,13.2,True
